property_id,location,property_type,num_bedrooms,num_bathrooms,price,amenities,availability_date,rating,is_verified
1,Countryside,Condo,2,1.3998082914496786,2853.984713195897,Swimming Pool,2024-12-09,4.4794641644429865,True
2,Downtown,House,4,2.4742481456267935,3566.860962623556,Gym,2024-12-11,3.0261248662082867,False
3,Countryside,House,2,2.775018522113835,3157.461075378968,"Parking, Pet Friendly",2024-07-03,3.6793462596245243,True
4,Countryside,Apartment,3,1.4612969483705784,1635.5900497384987,Gym,2024-04-08,4.540841474056607,False
5,Downtown,House,2,1.1704805955923079,3357.0921224961826,"Pet Friendly, Parking, Gym",2024-10-04,3.808015900736042,False
6,Downtown,House,3,1.6275339525768768,4546.114597735903,Pet Friendly,2024-12-31,3.725693453111911,True
7,Countryside,Condo,3,2.315694477842717,2674.0688930603906,"Swimming Pool, Gym, Balcony",2024-06-15,4.903104471566602,False
8,Suburb,House,1,1.7370401844520778,3675.731297741614,"Pet Friendly, Pet Friendly",2024-04-15,4.105096983722306,True
9,Countryside,Condo,3,2.098353078422438,3463.7371451053527,"Gym, Gym, Pet Friendly",2024-07-02,3.384984170072773,True
10,Countryside,House,2,2.488609931350391,2508.1725474180644,Parking,2024-03-16,3.944453377741141,False
11,Countryside,House,4,1.816957062310097,3261.0848285889315,"Balcony, Swimming Pool, Parking",2024-04-01,4.037342554109847,False
12,Countryside,House,2,2.9993896627423897,1840.848135595444,Pet Friendly,2024-09-06,4.977463268115264,True
13,Downtown,Apartment,4,1.595898520471005,3184.42903478075,"Balcony, Gym, Pet Friendly",2024-08-23,4.4364390779664244,True
14,Countryside,Condo,3,2.956496703745234,4195.3183619615165,"Gym, Balcony",2024-09-05,4.038804261155258,True
15,Suburb,Apartment,1,1.4060593304662279,4035.791078365065,"Pet Friendly, Pet Friendly",2024-03-29,3.86398152201443,False
16,Downtown,House,3,1.2218634865285796,2431.8181992282866,"Gym, Pet Friendly, Swimming Pool",2024-08-31,4.830989910795888,False
17,Suburb,Apartment,3,2.501661250188736,1448.3408636260351,"Balcony, Balcony",2024-10-26,4.291882152553737,True
18,Suburb,Condo,4,2.404619313302396,4199.770260159464,Pet Friendly,2024-10-23,3.712173577083778,False
19,Suburb,House,2,2.6223386944849287,2060.1563579780914,Balcony,2024-04-17,3.9292607236242825,True
20,Suburb,Apartment,1,1.6871808434666098,1212.175068848271,"Balcony, Parking",2024-03-31,3.556249566722214,False
21,Downtown,Apartment,1,2.8616153077059674,2780.771840864011,Swimming Pool,2024-04-11,4.920857362925605,False
22,Downtown,Condo,1,1.2389628567461577,3957.8821181861904,"Gym, Balcony, Gym",2024-10-19,4.403890170037416,False
23,Suburb,Apartment,1,1.0605542026622523,4233.9733619567505,"Balcony, Balcony, Gym",2024-07-02,3.7845965245198983,True
24,Suburb,Condo,2,1.601127770223943,4928.808596887736,"Balcony, Pet Friendly, Parking",2024-11-27,3.366426404931542,True
25,Downtown,House,1,2.5946489268005006,1757.630736120494,Gym,2024-09-01,3.354038169796495,False
26,Downtown,House,4,2.345964614547296,2175.179401842131,"Parking, Swimming Pool",2024-05-17,3.955484438042865,True
27,Downtown,Apartment,4,1.8724175284452462,3437.961993917989,Parking,2024-06-26,3.935134099953909,False
28,Countryside,House,1,1.512507228388671,4245.3747884641,Swimming Pool,2024-06-30,3.835577277534896,False
29,Countryside,House,1,1.1185455735359544,1936.3000849699692,"Pet Friendly, Balcony",2024-03-31,4.7036120573115845,False
30,Countryside,Apartment,2,1.675011156894945,2639.6578014950364,"Pet Friendly, Balcony",2024-10-13,4.958366233760755,True
31,Suburb,House,2,1.9200395355094992,2633.6026738099686,Balcony,2024-10-19,3.709646345946265,True
32,Countryside,Apartment,1,2.3740476761424105,4091.7469323932846,"Pet Friendly, Gym, Gym",2024-09-29,3.58922126830308,False
33,Suburb,Condo,2,2.2919439098928622,1963.7288227156855,"Gym, Parking, Gym",2025-01-10,4.540221564203753,False
34,Suburb,Condo,3,2.894689805863756,4875.0342187837105,Pet Friendly,2024-11-07,3.899585889181154,False
35,Countryside,Condo,1,1.200791838105722,3041.8552505418493,"Balcony, Pet Friendly",2024-05-27,3.4351371856824753,True
36,Suburb,Apartment,2,1.6726802457582728,2128.267346421256,"Swimming Pool, Pet Friendly, Pet Friendly",2024-07-21,3.361878524776678,True
37,Countryside,Apartment,4,1.9631561638737967,2137.1362388739462,"Gym, Parking, Swimming Pool",2024-10-25,3.5611355167823477,False
38,Countryside,House,1,2.3413915877079785,1073.199946815882,"Gym, Parking",2024-12-31,3.00264725734389,False
39,Downtown,House,1,1.9909033828828127,3769.7235630251603,Pet Friendly,2024-03-04,4.882859877162918,True
40,Countryside,House,4,2.8255164638934773,4103.793210702392,Pet Friendly,2024-05-28,3.8604977531087123,False
41,Downtown,House,4,2.217344691199627,1129.7110916947584,"Pet Friendly, Gym, Pet Friendly",2024-10-11,3.165694344034847,True
42,Countryside,House,2,1.0793308193824305,3343.738156523813,"Gym, Parking",2024-11-16,3.3299142566885163,True
43,Countryside,Apartment,4,1.2273119381322686,4126.6906710816875,Balcony,2024-08-03,3.6466756188166,True
44,Downtown,Apartment,3,2.506991122961117,2504.960193564009,"Pet Friendly, Balcony",2024-12-23,4.103387886261438,True
45,Downtown,Condo,1,2.4315753926925883,2730.9663314187587,Gym,2025-01-21,4.407432158710096,True
46,Countryside,Condo,3,1.3069940036514103,2446.499599648561,Pet Friendly,2024-02-19,3.6157023777496824,False
47,Suburb,Condo,2,1.1178173221313321,2262.602874265896,"Pet Friendly, Pet Friendly, Parking",2024-07-09,4.915232964439445,False
48,Downtown,Condo,4,2.157435710879737,2964.566894607683,"Parking, Gym",2024-03-11,4.520623805664682,False
49,Suburb,Apartment,1,2.271477664053467,1664.4026405328982,"Balcony, Gym",2024-09-25,4.651597539780269,False
50,Suburb,Apartment,4,1.2705992750256698,2762.750724927436,"Gym, Balcony, Balcony",2024-10-05,3.647291377670033,False
51,Suburb,Apartment,4,1.9472386420816306,4767.300497088821,"Gym, Balcony, Gym",2025-01-08,3.761922411775508,False
52,Downtown,House,2,1.6116630582368259,1109.608391188853,"Parking, Parking",2024-07-25,4.076123568698508,False
53,Suburb,House,2,2.862611291273775,1658.973663412115,"Pet Friendly, Pet Friendly",2024-07-04,3.903393923491158,True
54,Downtown,Condo,2,1.4383996067788092,4110.809562585684,Swimming Pool,2025-01-23,3.5197835819502457,True
55,Suburb,House,2,2.4665214518065994,1528.2283596548468,Parking,2024-05-27,4.99454183511856,True
56,Countryside,Apartment,1,2.0362678266886753,2085.123598010982,"Balcony, Gym",2024-06-02,4.696715156813713,False
57,Countryside,Condo,3,1.0230420240520868,2819.355696177423,"Swimming Pool, Gym",2024-11-19,3.4759746889158407,False
58,Downtown,Condo,3,2.0339971664252356,4772.649030564418,"Swimming Pool, Gym",2025-01-03,4.78479708936882,True
59,Countryside,House,1,1.198944299839003,1734.0047492142778,Pet Friendly,2024-09-07,4.1737719326828175,True
60,Countryside,Condo,4,2.318124391650623,4692.338376017266,"Balcony, Gym, Balcony",2024-09-30,3.025124097725385,False
61,Suburb,House,1,2.1310470607631444,3874.0980508514103,"Balcony, Balcony",2024-08-03,3.692302761932895,False
62,Downtown,House,3,1.0208544546669491,3684.5796469726884,Balcony,2024-11-07,3.051465518829316,True
63,Suburb,Condo,3,1.4093856591659626,3894.1700962001282,"Gym, Swimming Pool, Balcony",2024-03-28,3.175541062444018,True
64,Suburb,House,1,2.5524501057440454,1124.9864758773497,Pet Friendly,2024-06-27,3.357954612929066,False
65,Suburb,House,2,1.5515452286040423,1395.6010442780773,Parking,2025-01-18,3.968797287332407,False
66,Suburb,House,4,1.9985668023261063,2339.366114960914,"Pet Friendly, Parking, Gym",2024-11-07,3.7625774147504476,False
67,Suburb,House,1,1.6239972288183675,1295.8701325947106,"Parking, Balcony",2025-01-12,3.2979923438271603,False
68,Suburb,Condo,3,2.84305371279508,4950.358837981688,"Parking, Gym, Pet Friendly",2024-07-01,3.7891108503587145,True
69,Suburb,Apartment,2,2.0731540355668683,3321.6488325807104,"Gym, Balcony, Swimming Pool",2025-01-11,3.6086789822714445,False
70,Downtown,Apartment,4,2.3923470297120417,2949.374684571936,Pet Friendly,2024-12-18,3.8203118778160716,True
71,Countryside,House,3,1.166952209394216,4142.047139596176,Swimming Pool,2025-01-29,3.344621772534196,True
72,Suburb,House,4,1.0806719750655043,4907.836827247959,Pet Friendly,2024-03-07,4.219422076968771,False
73,Suburb,House,2,1.5184563901342618,4820.520000339098,Parking,2024-03-22,3.0890624513305696,False
74,Suburb,Apartment,3,1.6182685845073081,4172.259539154784,"Gym, Pet Friendly",2024-09-16,3.7757544236271956,True
75,Suburb,House,2,2.3753610823598037,2508.6969478435058,"Balcony, Balcony",2024-11-24,4.789771347166402,True
76,Suburb,Condo,1,2.1382610054248827,1263.8379663116268,"Balcony, Pet Friendly, Parking",2024-11-25,3.8393405514055403,True
77,Suburb,Condo,1,1.7491592138699705,1393.5079109163246,"Parking, Pet Friendly",2024-11-12,3.882159873184049,True
78,Countryside,Condo,4,2.3082349683560217,1004.6093631783499,Gym,2024-08-23,3.1360173087899046,False
79,Countryside,Apartment,2,1.3271314946725743,1007.6113728994236,Swimming Pool,2024-06-13,4.210728589779159,False
80,Suburb,House,2,1.1269793896294118,4745.687195733848,Balcony,2024-04-05,4.872805599142908,True
81,Countryside,House,4,2.709010184636401,4708.067876829997,"Parking, Parking",2024-04-05,3.583220793087687,True
82,Downtown,House,4,2.127892256537755,3670.2151988192086,"Pet Friendly, Pet Friendly, Pet Friendly",2024-12-12,3.786503297197465,False
83,Suburb,Apartment,4,2.2981905472748423,3906.70689688121,Balcony,2024-12-16,4.176316204054575,False
84,Downtown,Apartment,1,1.6144845014991482,3052.833826600151,"Gym, Parking",2024-09-25,3.186422320328324,True
85,Downtown,Apartment,4,1.7439099154753994,1951.3690243533297,"Pet Friendly, Balcony",2024-10-14,4.900566897900868,False
86,Suburb,Apartment,1,1.1647348943059515,4657.540196435237,Swimming Pool,2025-01-01,3.9351933475336347,False
87,Countryside,Condo,4,2.713976375603547,2110.7658694374004,Swimming Pool,2024-12-21,3.2301926087722252,True
88,Downtown,Apartment,2,2.1848789001578695,3958.685043798538,"Parking, Swimming Pool, Gym",2024-08-11,3.6704545146926435,True
89,Suburb,Apartment,2,1.1672553263598813,1981.7427388955186,"Swimming Pool, Parking",2024-11-04,3.7476618364440535,True
90,Downtown,Apartment,4,2.609059199450001,4480.593672196712,Balcony,2024-03-31,3.690755065149742,True
91,Downtown,House,4,1.888230739033949,3604.957737701924,Pet Friendly,2024-08-30,4.386447299272891,True
92,Downtown,House,1,2.5302027003400265,3570.780082226928,Balcony,2024-08-16,3.6910414586333578,False
93,Downtown,House,3,1.025239724178296,1389.4689469676798,"Parking, Parking, Swimming Pool",2024-05-01,3.6477079330948463,True
94,Countryside,Condo,1,1.0574793939442453,2677.8756126768067,Swimming Pool,2024-02-27,3.644177047199455,True
95,Downtown,Condo,2,1.3415659175642893,3099.6340301983973,"Balcony, Gym",2024-10-26,4.555697031782718,False
96,Downtown,Apartment,4,1.4218331122813597,2176.14515364444,"Parking, Pet Friendly",2025-01-13,3.6167630433780147,False
97,Downtown,House,2,2.5279110606202755,4523.898447333862,"Balcony, Swimming Pool",2024-02-24,3.0279961856876567,False
98,Countryside,Condo,3,2.4133883280331965,4350.6797660448865,Swimming Pool,2024-08-15,3.73107027436815,False
99,Downtown,House,1,2.2321762382596564,2974.48364937012,Gym,2024-04-08,3.5564743593840777,True
100,Downtown,Condo,2,2.7697177929666776,2360.12481057646,Pet Friendly,2024-04-14,4.818034500859337,True
101,Countryside,Condo,1,1.4942975673127326,4206.169088022578,"Gym, Balcony",2025-01-15,3.955812351447237,True
102,Countryside,Apartment,4,2.8088098078088963,1787.5657901649552,"Balcony, Parking, Gym",2025-01-06,3.4691506682685684,False
103,Countryside,Apartment,2,2.818942138530365,1286.0652603745311,"Balcony, Pet Friendly, Balcony",2024-08-31,4.963166689192805,True
104,Downtown,Condo,3,1.868519520373728,1182.841944287791,Pet Friendly,2024-04-26,3.493488460811177,False
105,Countryside,Apartment,1,1.1887724008403378,1154.733043592001,"Pet Friendly, Gym, Parking",2024-05-28,4.526048290158392,True
106,Countryside,Condo,1,2.4531198163790497,2955.5546258807135,Pet Friendly,2024-10-15,4.299101238660695,False
107,Downtown,Condo,3,1.6738573452941583,2021.254544397441,"Parking, Swimming Pool, Swimming Pool",2024-12-10,3.9244561855489106,True
108,Countryside,House,2,2.589859034873461,3761.5004854477897,"Balcony, Pet Friendly, Pet Friendly",2024-08-29,3.811670205031294,False
